created_at,text,full_name
09-12-2021,Everyone even if vaccinated should watch these videos and share! #COVID19Vaccine https://t.co/L1cgw3f7js,"Pennsylvania, USA"
16-11-2021,@MemHospitalNH Kudos to this dedicated team! 🏆😷💪🩹 #COVID19Vaccine,"New Hampshire, USA"
14-11-2021,"Mandate or no mandate, getting a #COVID19Vaccine is the best way to keep your family safe so you can enjoy the holidays! And its easier than ever to find vaccines in #Philly! @NBCPhiladelphia 
Cc @BonKu @MorganHutchiMD @DrTrishHenwood @TJUHospital 

https://t.co/W7vBKw95to","Pennsylvania, USA"
12-11-2021,https://t.co/ysXpCGuMra @BillGates @CDCgov #COVID19Vaccine #bioweapon #China https://t.co/JADaFHTH9u,"Mississippi, USA"
10-11-2021,"FREE  #COVID19Vaccine clinic @DeckerPUSD on Sunday, November 14 from 1:30 to 6:00 pm #deckermakeswaves #proud2bepusd #phillipsranch https://t.co/JJteTpBnRa","California, USA"
05-11-2021,Hey! That’s the oldest kid and me in the background of the 3rd picture. So happy for today!! #VaccinesWork #COVID19Vaccine https://t.co/cyut8dQ6YO,"Texas, USA"
04-11-2021,"Three disrupted elementary school years for these kids waiting patiently for the #COVID19Vaccine, but today it was finally their turn! So grateful to our beloved Pediatrician who went above and beyond to vaccinate her patients on the very first day she could. Total superhero! https://t.co/jM3quN9b50","Massachusetts, USA"
19-10-2021,We are AmVAXadors! We are ACLAMO 💙🧡. #ACLAMOHealth #COVID19Vaccine #GetVaccinated @mcicpa https://t.co/hBBWSd7N43,"Pennsylvania, USA"
11-10-2021,"@lawyer4laws Take

Your

#COVID19Vaccine 

SAFE 

EFFECTIVE 

@FDA approved

NOT https://t.co/L3fIPpolQo","Pennsylvania, USA"
30-09-2021,Thankful to be able to both give and receive the 💉 The APPE students with me this month organized TWO successful flu and #COVID19Vaccine clinics this week. #Boosted #VaccinesSaveLives #ibelieveinscience #MedTwitter #Twitterx 💕 https://t.co/1qI2CAt3DZ,"Ohio, USA"
28-09-2021,@washingtonpost Good! #healthcareworkers who don’t want to get the #Covid19Vaccine have no business in #healthcare. Simple. Can you imagine STIIL fighting #TB or #Polio in the USA if #healthCareWorkers weren’t #vaccinated against TB or Polio. It’s not political; it’s a WW #HealthcareCrisis!,"Texas, USA"
24-09-2021,"NO ONE SAID THAT THE #COVID19VACCINE WILL PREVENT EVERYONE FROM GETTING SICK.  IT REDUCES YOUR CHANCE OF SEVERE ILLNESS!!!

#COVIDIOTS #COVID19 #WearAMask #GetVaccinated","Florida, USA"
17-09-2021,"I’m at a loss, so those of us that stepped up and got #Vaxxed during the info war were almost pushed into booster shots by @POTUS without medical basis #Covid_19 #COVID19Vaccine we demand truth not opinions https://t.co/A9ymKlV0Ha","Indiana, USA"
