created_at,text,full_name
13-03-2021,#1 completed #pfizer #covid19 @ Gwinnett Place Mall https://t.co/t8LVzn2VeG,"Georgia, USA"
13-03-2021,@RonSarkar I've had both doses of #Pfizer and the only side effect I had was soreness at the injection site. That's it.,"Florida, USA"
12-03-2021,@seanhannity #Pfizer &amp; #Moderna REJECTED invitations from Trump https://t.co/yqOVGoc50L,"Ohio, USA"
12-03-2021,"Who cares who gets the credit for the @pfizer vaccine?  Can it get shared? Or must partisanship decide?  

Ultimately it’s the free market that produced not one,but multiple vaccines.  Government aided the process by getting out of the way.  #CovidVaccines #Pfizer","Texas, USA"
11-03-2021,GOT MY #PFIZER BEEYOTCHEZ! #COVID19Vaccine #COVID19 https://t.co/PpOBc18wNt https://t.co/xTUaXPjVI9,"Iowa, USA"
11-03-2021,Real world data from millions of vaccinated people in Israel shows Pfizer vaccine is 94% effective against asymptomatic infection. This is huge for society as it basically eliminates spread of Covid. #COVID #Pfizer,"Florida, USA"
10-03-2021,My first jab of the #Pfizer #vaccine https://t.co/mx60pEoHQl,"Georgia, USA"
10-03-2021,First dose down! 💉 #covid #covidvacccine #pfizer @ Orange County Convention Center https://t.co/hPJ2JzokB1,"Florida, USA"
09-03-2021,First dose in!! #science #wearamask #byebyecovid #Pfizer 💉🦠🩹 https://t.co/ShvJ07PDNG,"Pennsylvania, USA"
09-03-2021,"My #86 year old mother and my brother who has #PPMS have both gotten their #First Dose of the #Pfizer Covid-19 vaccine at #NewBridgeMedical Center, Paramus, NJ this morning https://t.co/ldt7IGsllx https://t.co/h3azZS22fO","North Carolina, USA"
09-03-2021,First one in the arm!  I’m sooooo excited to get this Pfizer vaccine. They have this procedure down and next appt scheduled. Thank you #JoeBiden #Pfizer #KamalaHarris #OhioHealth #GovernorMikeDeWine #JohnHusted #MikeDeWine #ODH https://t.co/bO839brZYF,"Ohio, USA"
09-03-2021,"Disgusting.... really #911onFOX 
I guess this was sponsored by #Pfizer","Georgia, USA"
08-03-2021,Thank you Mr. President @potus @joebiden and team for your pushing to get ALL teachers vaccinated! 1st dose of Pfizer down! Thank you to the amazing people at CVS for a flawless process today. #cvs #vaccine #pfizer #blessed #teacherlife https://t.co/amxyFAOMZB,"Florida, USA"
08-03-2021,Got my first Covid vaccine this past Friday and I couldn’t be more relieved. #CovidVaccine #Pfizer https://t.co/zSxyudZMD2,"Illinois, USA"
