created_at,text,full_name
12-05-2021,And..... it’s approved! Pfizer Covid vaccine approved for those 12-15 years of age! Go to your website to make an appointment! #501pharmacy #vaccinate #covidvaccine #pfizer #onestepatatime @ 501 Pharmacy https://t.co/OFqeEnKBKD,"North Carolina, USA"
12-05-2021,Fully vaccinated! 🧬💉 #pfizer #igotmyshot @ Orange County Convention Center https://t.co/IdySLCEALY,"Florida, USA"
12-05-2021,"@Mdswoman @ccnyc2010 @NYGovCuomo Nah, I'll take a democrat or republican that doesn't murder the elderly and disabled adults in group homes and cover it up because he's writing a #Narcissist book on how well he did. How much $$ did #Cuomo get from #Pfizer? #Merck ? He's a puppet. We have enough puppets already. https://t.co/5xvLIHlPa3","New York, USA"
11-05-2021,"Picked up some porkette on the way back from my second jab @dinersdriveindives
@maialedeli
#pfizer @ Maiale Deli and Salumeria https://t.co/XrWrexxBaL","Delaware, USA"
10-05-2021,#BREAKING: FDA authorizes #Pfizer vaccine for kids 12-15 years old https://t.co/o6emDQBlNu,"Nebraska, USA"
09-05-2021,"25 hours post second Pfizer dose: A headache that was fixed with Excedrin Migrane and a stomach ache that was slept off. No chills, no fever. The sore arm is worse this time around. #Pfizer #Vaccine #COVID https://t.co/EHYW2JDK8j","Alabama, USA"
08-05-2021,Some anecdata: Two days after vaccine shot #2 (#Pfizer). Zero side effects aside from being a little tired. Not even a sore shoulder like with shot #1.,"California, USA"
07-05-2021,2nd one in the book ... or arm .... #fullyvacinnated #fuckcovid19 #doingmypart #pfizer @ Rite Aid https://t.co/XGoWnDcdfz,"Pennsylvania, USA"
07-05-2021,"3 days post #Pfizer second dose. Only side effect was a sore arm. 

My body is invincible. #FullyVaccinated #vaccinated https://t.co/aPx8tQbenR","Florida, USA"
06-05-2021,Any #Pfizer second dose suggestions?! I have Gatorade and popsicles.,"Connecticut, USA"
