created_at,text,full_name
13-05-2021,"Where in #SantaClaraCounty you can find a mass vaccination site for #COVID19Vaccination for ages 12y and older, drop-ins welcome! Go get your vaccine 💉!! #modernavaccine and #PfizerVaccine available 

https://t.co/H8BmhXMyIx","California, USA"
11-05-2021,"2nd shot done! Great work Lewis &amp; Clark County, PureView! #COVID19 #PfizerVaccine https://t.co/SeV6z4No85","Montana, USA"
10-05-2021,This is definitely the way to go.  Now waiting for my toddler to join the list to get vaccinated #COVIDVaccination #PfizerVaccine #COVIDSecondWave @CDCgov @RajanSubbiah @ACOGD2 @COVIDNewsByMIB https://t.co/614fyMZMgt,"New York, USA"
09-05-2021,"#PfizerGang #PfizerVaccine
#pfizerterror #Nuremberg2 #Nuremberg2021
reportedly asked governments in Argentina and Brazil to put up sovereign assets, including military bases and federal bank reserves, as collateral for potential future legal costs.
https://t.co/zxmBxxEArh","New York, USA"
06-05-2021,Getting my second #PfizerVaccine today,"Ohio, USA"
03-05-2021,"Second shot done. Just 14 more days until I can board game with my (vaccinated) friends again!!!
#COVID19 #COVID19Vaccine #COVIDVaccination #PfizerVaccine #GetVaccinated","Illinois, USA"
01-05-2021,"shot #2 in the arm - i am now fully 5G compliant &amp; microchipped. just kidding...go get vaccinated, people! #PfizerVaccine","Georgia, USA"
30-04-2021,Just got that second vax baby!!!! #CovidVaccine #PfizerVaccine #PfizerGang #thatsbaseballbaby,"North Carolina, USA"
30-04-2021,"@Sloths7777 I’m fully #PfizerVaccine’d! 💉 

And I follow you.","Georgia, USA"
29-04-2021,"@jessica_tyciak It felt like the first one... a little soreness in the arm that was injected for about 24 hours. ⏰ 

Neither my wife nor I experienced any other side effects after the second #PfizerVaccine 💉 shot other than a surprising air of superiority about us! 👑","Georgia, USA"
28-04-2021,"Today, I took my 76-year-old mother for her first #PfizerVaccine dose. No appointments needed. We had one just in case. It was easy &amp; fast. Thrilled to see so many younger people there getting theirs. #COVIDVaccination #VaccinesWork","Florida, USA"
28-04-2021,Fully vaccinated against #covid_19 #covidvacccine #vaccinationdone✔️ #pfizer #pfizervaccine #baylorscottandwhite #nationalguard #marblefallstexas #staysafe #staysafetexas https://t.co/pq0eURfzjI,"Texas, USA"
27-04-2021,#vaccinated #PfizerVaccine https://t.co/xWDcxilXBR,"Kansas, USA"
22-04-2021,"@SquawkCNBC @ScottGottliebMD Will we need a 3rd shot, a booster, from Pfizer? #PfizerVaccine","Florida, USA"
21-04-2021,"@TheRickWilson #PfizerVaccine was a surprise because the 1st was fine &amp; the 2nd knocked me on my butt for 3 days with weakness, muscle aches and pains and zero energy! The depression may have been contributed to my father who passed away just days before I received it.","Delaware, USA"
20-04-2021,Fully #vaccinated after dose 2 of the #PfizerVaccine today. #COVID19Vaccination #PfizerProud #PfizerPfam #,"West Virginia, USA"
19-04-2021,Two times! #PfizerVaccine Thank you science! https://t.co/o0bPlyAJGb,"Colorado, USA"
19-04-2021,"#COVID19Vaccine #2 tomorrow, wish me luck! #PfizerVaccine #Pfizer #FauciOuchie #vaccinated","Montana, USA"
16-04-2021,"@TexTheRuffian you'll be ok.
I did good, wicked sore arm though, 24hrs 💪🏽
idk I usually feel Icky from the flu🤒shot, surprisedly 'nothing' from the #PfizerVaccine.
🤸🏻‍♀️🤸🏻‍♀️🤸🏻‍♀️

Since some days pasted, you feel better? hopefully so.
actually going for my 2nd Dose TODAY. 
take😊care","Massachusetts, USA"
16-04-2021,"To@or tow my husband and high school senior receive their 1st doses on #Pfizer I’m thrilled. Soon we will all be vaccinated. However, we will still wear our masks. #PfizerVaccine #GetVaccinated #VaccinesWork #TeamPfizer","Georgia, USA"
15-04-2021,2nd Moderna shot down. Ready to get back out there and do big things! Who’s with me? #COVID19Vaccination #PfizerVaccine #Moderna #COVID19 #cryptocurrencies #Covid_19 #success #MotivationalQuotes #Motivation,"Ohio, USA"
15-04-2021,#PfizerVaccine Arm has a dull ache and feels a little weak. Kind of tired.,"Arizona, USA"
14-04-2021,Got our second vaccine today! #PfizerVaccine #CovidVaccine #COVID19Vaccine #CovidVaccine #COVIDVaccination #CovidPassport https://t.co/NAg9fDuq0a,"Indiana, USA"
14-04-2021,Fully vaccinated.  #PfizerVaccine,"South Carolina, USA"
13-04-2021,"As of May 4th, all eligible members in the Babb house will be vaccinated 💉🦠🧬 #PfizerVaccine #COVID19Vaccine","Missouri, USA"
13-04-2021,First Dose. That’s the tweet. As you were. 😉❤️💉  #covidvaccine #PfizerVaccine https://t.co/0WvEUC0uj5,"Georgia, USA"
13-04-2021,#PfizerVaccine fully vaccinated for this year. #PortLife #EssentialWorkers #Tomorrowishere #keepfreightmoving https://t.co/OAKNiCK5hQ,"South Carolina, USA"
13-04-2021,2nd dose of Pfizer done!! #Pfizer #PfizerVaccine #COVID19 #FauciOuchie #Musicians #flute https://t.co/Cd1s2XXUeA,"Georgia, USA"
12-04-2021,Got my first dose of the #PfizerVaccine. https://t.co/r2L3ZIxJdG,"Pennsylvania, USA"
12-04-2021,"One down, one to go... 🙏🤗😊 #Pfizer #PfizerCovidVaccine #PfizerVaccine #pfyser #CovidVaccine #VaccinePassport #expedia #airbnb #travelawesome #staystoked #travelfolk #travelgram #hellofrom #WearAMask #CovidVaccine https://t.co/5EsmFfFlQV","Illinois, USA"
10-04-2021,Done and done. #FullyVaccinated #PfizerVaccine https://t.co/JxQs7SazAl,"Michigan, USA"
10-04-2021,just got my first half of the #PfizerVaccine so my vax jealousy has ✨lessened✨ @dearhankandjohn,"Florida, USA"
09-04-2021,8 hours post second #PfizerVaccine and I ... am regretting all planned productivity for the next 24 hr,"Indiana, USA"
08-04-2021,"Tomorrow morning I get the 2nd dose of my #PfizerVaccine. I hope you will visit https://t.co/LEeOs74ctn if you’re 16yo+ to schedule your appointment to get #vaccinated today!
It’s going to take all of us to defeat #COVID19 &amp; I will not allow the virus to use my DNA to grow. —TW","Indiana, USA"
08-04-2021,"Every shot counts @kaustavchem
#weareINthistogether
#GetVaccinated 
#PfizerVaccine https://t.co/1KzryJEBnP","Indiana, USA"
07-04-2021,"Visit: https://t.co/6ciDFzQLzu to schedule yours!
💉💉💉💉💉💉💉💉💉💉💉💉
💉 Shot One of the #PfizerVaccine ... https://t.co/bsn6shPEIP","Indiana, USA"
07-04-2021,#PfizerVaccine https://t.co/rta48wYUq3,"Virginia, USA"
07-04-2021,Today was round 2 of the #PfizerVaccine and now I’m fully vaccinated!!!,"New York, USA"
06-04-2021,I received my second Covid shot today! 🤗💯#PfizerVaccine,"Texas, USA"
06-04-2021,Blessed beyond measures.  #COVID19 #vaccinated #PfizerVaccine https://t.co/sFNSTOeyAb,"Florida, USA"
05-04-2021,"Got my covi vaxxes. 
Next up: a manicure and a rock and roll concert. 🤘🏻
#COVID19 #PfizerVaccine #GetVaccinated https://t.co/6nFJy4Gcom","Wisconsin, USA"
05-04-2021,I got vaccinated today!! 🙌🏾💉  #PfizerVaccine,"Florida, USA"
03-04-2021,Jab #2 done! #vaccinated #PfizerVaccine https://t.co/E3ckfaiy1g,"Washington, USA"
03-04-2021,Received my 2nd Covid vaccine shot today (Pfizer) and so far no side effects. Feel fine. Apparently I’m a GD Super Hero according to Twitter freak outs about the 2nd shot. Get the shot. It’s all fine. #PfizerVaccine,"Georgia, USA"
02-04-2021,JOURNALIST GETS JABBED. Thank you to @McLeanCoIL &amp; @IL_Natl_Guard for #PfizerVaccine. See you in 21 days. https://t.co/A8NQGbgHyy,"Illinois, USA"
02-04-2021,I’ll never understand lifting the mask mandate. Are they trying to kill people? Even after my second vaccine I’ll be wearing a mask! #COVID19 #WearAMask #PfizerVaccine #GetVaccinated #RepublicansAreTheProblem,"Minnesota, USA"
02-04-2021,We both got our Second Pfizer’s. So we’re celebrating. Wearing my @FlukeHusky merch of course. #seconddose #PfizerVaccine #vaccinegang #frands #friends #drinking https://t.co/dZet4hFx9z,"North Carolina, USA"
30-03-2021,"This girl is FULLY VACCINATED!!

#trustthescience 
#vaccinated 
#formypeople 
#formycommunity 
#PfizerVaccine https://t.co/NUqV0qMAI3","Georgia, USA"
29-03-2021,"Got my first Pfizer shot today. Feeling well!
Getting Vaccinated will save lives! #vaccinated #PfizerVaccine #vaccinesaveslives","Kansas, USA"
26-03-2021,"2nd dose #PfizerVaccine is making me feel like I’ve been run over + I’m freezing/feverish but last night pharmacist’s eyes lit up after admin 💉 &amp; she said, “Doesn’t it feel good?!” &amp; gave me the best smile.

Yes, this feels good—we’re almost there. #vaccinated #GetTheShot https://t.co/Xv8Csnqux6","Iowa, USA"
