created_at,text,full_name
13-07-2021,Who has gotten their #covidvacccine ? What has your experience been like? #COVID19 #JohnsonAndJohnson #Pfizer #Moderna https://t.co/h7Q5W4hKLV,"Maryland, USA"
10-07-2021,In Mexico after you get vaccinated you must wait 20 minutes and dance to see if you are ok before leaving 🕺 #cnn #Mexico #COVID19 #vaccination #Pfizer #dance #Moderna #funny #Vaccinated https://t.co/BUrL2I7S0c,"Florida, USA"
04-07-2021,"My family got both #Moderna and #Pfizer shots, both times we just had arm pain at the site of injection. I took to my bed anyway because I needed a day off but I was fine. #slacker #GetVaccinated #GetTheShot https://t.co/HNqysKgvlQ","Florida, USA"
04-07-2021,"@TannisBell1 I had the unusual experience that I had a bad reaction with my first #Moderna shot, sick for seven days, and no responses with my second shot.","Minnesota, USA"
02-07-2021,I’m putting this out there because. Before vaccine my BP was consistently 120/75. Since vaccine it runs 160/100 on average and this morning it’s been hovering around 200/125. I have no other explanation. #moderna #CovidVaccine,"California, USA"
26-06-2021,2nd vaccine shot today #FullyVaccinated #Moderna,"Arkansas, USA"
22-06-2021,#Moderna wins $3.3B Defense Department contract for additional #COVID19 vaccine doses | Fox Business $MRNA https://t.co/YP0RiI160F,"Virginia, USA"
20-06-2021,"Yet msm say it was suicide.. how  many headlines include the word suicide, when someone takes their own life? Seems lately they would refer to the person as passed away with no other information. #moderna #death  https://t.co/BbEMuu2cDa https://t.co/9d228STSVX","Colorado, USA"
13-06-2021,That second #CovidVaccine #moderna shot hit us hard!  But we are doing better today I still have a headache My wife said she is fine!  #HappySunday #HappyNewWeek I hope you All have a Blessed Day☀️🙏🏻🙋🏻‍♂️☕️💚🌏🌎🌍🧙🏼‍♂️🌻🐝🌈🤗 https://t.co/nhxpgiPGwn,"Pennsylvania, USA"
11-06-2021,Why does  my arm hurt weeks later after #Moderna #vaccine ? https://t.co/qay8DSA8Id,"New York, USA"
11-06-2021,Did anyone of my #followers who got their second #Moderna shot have any reaction? My wife &amp; I are getting ours this afternoon #CovidVaccine #MaskUp😷&amp; are you still masking up after your 2 weeks of getting both shots? #HappyFriday #Besafe #ClimateAction #BePositive #HappyPride🏳️‍🌈,"Pennsylvania, USA"
11-06-2021,#GoodMorningTwitterWorld🌏🌎🌍🧙🏼‍♂️☕️☀️🌻💚#HappyFriday after helping Brother-in-law with mower then that put me behind on my ceiling fan fix &amp; watering #garden up watered now ripping stitches 4 wife then maybe back to sleep💤 as I only slept about 4hrs then 2nd #Moderna afterwards https://t.co/xLQ7cN1KL7,"Pennsylvania, USA"
11-06-2021,"Guess who has two thumbs, is fully vaccinated, and will never lose his keys again? ;) #vaccinated #PfizerVaccine #Moderna #Janssen #johnsonandjohnson #funny #humor #magneticvaccine #magnetized #magnetic #viral #COVID19 #jokes","West Virginia, USA"
10-06-2021,"Coming up on #YourAfternoon on #SpectrumNews1 

#Moderna nearing approval of its #COVID19 vaccine in teens 💉 

@sarbetter on the final day of the Legislative Session in Albany 

And I return to the desk on the day of a  #PartialSolarEclipse 🌚 

Coincidence? 🤔

Join us till 5 https://t.co/ulsqDjnsEP","New York, USA"
02-06-2021,It’s such a great feeling to actually go to work without needing to wear a mask #covidvaccine #fullyvaccinated #moderna #mivacctonormal #ikea #ikeacoworker #ikeacanton #ikeausa @ IKEA https://t.co/q9b2kTdr4I,"Michigan, USA"
01-06-2021,"Today on #YourAfternoon on #SpectrumNews1:

@SpencerReports on a bad #TickSeason

@ArinCotelAltman details an APP to fight addiction

#Moderna applying for full #FDA approval 

@RobGuaderrama with headlines #RobertBackFromTheRoad &amp; @JoDeeKenney in her blue glory! 

Join us at 12! https://t.co/cRPQ7k1okS","New York, USA"
01-06-2021,"@michaeldickson Salmo 115:10
Oh casa de Aarón, confíen ustedes en el SEÑOR...

""We have a full expectation to change the course of this pandemic."" -#Moderna's Chief Medical Officer, Dr. Tal Zaks, an #Israeli who served as a medic in the #IDF and who went to medical school in #Israel https://t.co/LAjZgp6hDm","Georgia, USA"
31-05-2021,I just received my first dose of the COVID-19 vaccine #moderna,"Rhode Island, USA"
27-05-2021,"In that case..
 
I’ll take a double shot of #Moderna and hold the “peasantry” if you will..🤌🏾 https://t.co/kwitNViFKy https://t.co/2riTEIGWs6","Texas, USA"
25-05-2021,"@Walgreens please update your system.  The #CovidVaccine system not allow you to talk with someone, it schedules 17 and under for the #Moderna vaccine.  As you know, that vaccine is not approved fir 17 year olds.  This is a dangerous line where your system is failing","Arkansas, USA"
23-05-2021,What the matter @DrRandPaul you already where attacked in the ribs by a crazed neighbor. What is 2 shots of #Moderna or #Phizer to you. Don’t be a wimp #RandPaul #AntiVaxxers https://t.co/4Umj9rQVfx,"Georgia, USA"
23-05-2021,Happy Sunday Funday! @myglendale #sunday #besafe #doingmypart #wewillsurvive #ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ #moderna #wearamask @ Verdugo Woodlands https://t.co/NgiOp4W4ll,"California, USA"
22-05-2021,#HappySaturday looks like most of the seeds I planted last Friday after #CovidVaccine #Moderna shot R up took a bit but I got a photo of #hummingbird🤦‍♂️i #lovehummingbirds took a chance on my nude coffee time outback if the neighbor got a view I’m sorry not😂#BlessedBe #outdoors🌻 https://t.co/8h1rlU8bd5,"Pennsylvania, USA"
21-05-2021,Thankful we can part of the solution #Moderna @RickMeansBiz https://t.co/8yjLz9YNAs,"Tennessee, USA"
21-05-2021,2nd dose DONE! Just need 14 more days!  @myglendale @masksforacause #ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ #moderna #wearamask #doingmypart #savelives #wewillsurvive @ Verdugo Woodlands https://t.co/7u5pInr8QW,"California, USA"
19-05-2021,I can officially say that I am fully vaccinated now. #Moderna,"Mississippi, USA"
18-05-2021,Second jab of #Moderna done! https://t.co/V7PxAEDZgR,"Pennsylvania, USA"
16-05-2021,100 years from now in 2119 teachers will be praising @Mike_Pence and @NIHDirector and #DrFauci and all the scientists for at #phizer #Moderna #johnsonjohnson for ending the #COVID19 pandemic #DonaldTrump will be credited as killing over 500.000 Americans #CoronaTaskForce https://t.co/uCyawye83b,"Georgia, USA"
15-05-2021,"Got my first dose today.
Gracias #TrousdaleCounty #Tennessee #Hartsville #CovidVaccine #Moderna #VacunasYaParaTodos 🙏 https://t.co/xmR8ckhbFp","Tennessee, USA"
15-05-2021,"Well it’s been 17 hours since receiving my 2nd dose of #moderna

I feel like I’ve been run over

But, I’m super grateful that my body is actively putting together the puzzle pieces of defeating #COVID19 

It’s like my own bios update. I’m now version 2.0!

#immunity #CovidVaccine","Michigan, USA"
15-05-2021,"The tee you've all been waiting for me to drop is live! I launched a 10 day pre-order. Get yours now!
https://t.co/Y5d30llYKg

#iidentifyasvaccinated #MyBodyMyChoice #TheLibertyLady  #conservative #USA #politics #BigPharma #PfizerVaccine #Moderna #draintheswamp #Trump2024 https://t.co/05GptGO9BA","Illinois, USA"
15-05-2021,I did it! #Moderna #FullyVaccinated #goalsetting #vaxed https://t.co/MSL6NabCJS,"Michigan, USA"
