created_at,text,full_name
11-10-2021,"https://t.co/3BZAL6ZiCW

PSSST hey @cenkuygur + @KeithOlbermann

Here are some FACTS from @jimmy_dore 

🎤😅MIKE DROP 

cc: @joerogan

#VaccineSideEffects
#Covid_19
#Pfizer
#Moderna","Pennsylvania, USA"
11-10-2021,@RepThomasMassie #vaccine #Moderna #Pfizer https://t.co/dmLMn8TiO0,"Pennsylvania, USA"
11-10-2021,@zerohedge #vaccine #Moderna #Pfizer https://t.co/Mlx8EIOhRV,"Pennsylvania, USA"
11-10-2021,"I haven’t talked about us having #Covid_19 because I realize we were fortunate. My wife had #Moderna &amp; just had a couple days with snot. My kids had a variety of symptoms, but cough was the worst. Thankful it was such beautiful weather to stay home &amp; everyone’s on the mend.","Ohio, USA"
11-10-2021,@SouthwestAir Liars. #maskmandates #COVID19 #pfizer #moderna #strike #pilots #jandj #CoronavirusUpdates https://t.co/0R1bqmDlv4,"Florida, USA"
10-10-2021,"WHAT IS WRONG WITH AMERICANS!?

The Moderna vaccine is being banned in countries-the latest is Iceland.

But Biden is still pushing it and his sheep still obey.

And you think he cares about Americans!?! 

#Moderna @moderna_tx @JoeBiden @KamalaHarris @SpeakerPelosi @jrpsaki","New Hampshire, USA"
02-10-2021,"#October 14,2021 #FDA To Approve #Moderna mRNA 1273 vaccine and the #Booster!! https://t.co/IGI04xHO7J","North Carolina, USA"
01-10-2021,@ZubyMusic Because #Moderna posted 20 billion in revenue but the vax is free. #free #vaccine,"Colorado, USA"
27-09-2021,"My husband had his 3rd Moderna booster right when it was available. He's since been around multiple people who were sick with covid and has not gotten sick. That 3rd shot really does the trick against Delta.
#COVID19 #Moderna #BoosterShots","Texas, USA"
27-09-2021,Waiting on the #Moderna mRNA 1273 Booster https://t.co/hT6fcxbTW1,"North Carolina, USA"
24-09-2021,Soooo … anyone know when the #Moderna booster shots will be available? Anyone? anyone? #COVID19 #Immunity,"Texas, USA"
22-09-2021,"Just got my Moderna booster due to being an Immunocompromised asthma sufferer with reduced lung capacity. Thanks, Dolly Parton! 😊 #Moderna #vaccinated #DollyParton https://t.co/fqxI3fAL6x","Florida, USA"
20-09-2021,"Moderna or Pfizer?
#Pfizervaccine is not as effective as #Moderna https://t.co/fAQpZ5wHjg","Pennsylvania, USA"
17-09-2021,"¿Tomar vitamina D para combatir el COVID-19? 

#COVID19 #Moderna #PfizerBiontech #VitaminD #coronavirus #Salud #suplementos 

VITAMINA D Y COVID-19 ¿AYUDA SUPLEMENTARSE? https://t.co/K1wNx87UY6","San Juan, Puerto Rico"
16-09-2021,"@ABC The government's benevolent free vacine cost me and my wife $1,600 in emergency room and ambulance expence from her reaction to the first #Moderna shot.","Indiana, USA"
15-09-2021,I took the #vaccine got a #juicy #booty and now have many menz looking to put a ring on it 🍑🍑 #Moderna,"Kentucky, USA"
13-09-2021,Man they weren’t playing when they said this 2nd dose could make you feel like you’ve been hit by a truck. 😬#Moderna,"Kentucky, USA"
10-09-2021,@washingtonpost I don’t doubt that unvaccinated are more likely to die because they are more likely to contract the virus. But anything coming from CDC these days has to be taken with a grain of salt. #Vaxxed + #booster #Moderna so don’t @ me. #flu #shot #too,"Alabama, USA"
07-09-2021,@chipfranklin I got mine on Thursday. #Moderna 👌🏻,"Georgia, USA"
04-09-2021,"It was the bartender asking if I liked my Madonna Booster! Goddammit…not Moderna! I need to stop drinking! Guess I’ll wait to die another day. 
@Madonna #Moderna #spentwaytoomuchtimeonthisjoke #dadjokes #gaybooster #boosterclub","California, USA"
02-09-2021,#Pfizer #Moderna #vaccine https://t.co/cSZNGPztGl,"Texas, USA"
02-09-2021,Hey @PWRoTCH this is excellent news! Best protection against #COVID19 is #vaccination #VaccinesSaveLives #Pfizer #Moderna #johnsonandjohnson https://t.co/QdcdvMgH9v,"Florida, USA"
31-08-2021,@thehill I like it! #Moderna x 3!,"Alabama, USA"
26-08-2021,"Thank you @DollyParton for keeping me out of the hospital! Without my Moderna vax I would have been in very bad shape. Delta is no joke y'all and I urge you to get vaxed asap. It really saves lives.
#Moderna #CovidPositive https://t.co/MiFujft9b2","Texas, USA"
25-08-2021,One down one to go #Moderna,"Virginia, USA"
24-08-2021,#Vaccine #Pfizer #Moderna https://t.co/RkNw8x8GqC,"Texas, USA"
24-08-2021,"Waking up early feeling good that my family's Covid free in over two weeks. What a whopper of a time. I trusted in the Vaccine &amp; it kept my folks out of the hospital. Pops is a combat wounded Veteran &amp; Mom pulled thru. Vaccination works, get jabbed now. #COVID19 #Moderna #Phizer https://t.co/8gejzcKLcI","Washington, USA"
24-08-2021,@POTUS I’m making an appt for my third #Moderna dose next week! Thank you @POTUS,"Georgia, USA"
24-08-2021,Team #Moderna… https://t.co/zLDZI74EDC https://t.co/HuTbfLvi1n,"Pennsylvania, USA"
23-08-2021,"@OurRevolutionPA 

WHY I TOOK THE VACCINE 💉 @KizzyPhD 

#DrewComments #AmericanRescuePlan  #BidenHarris #coronavirus #COVID19 #moderna #covidvaccine #ModernaGang #ncat #mRNA #DrKizzy #kizzmekiaCorbett https://t.co/M1IBiUH8AA","Pennsylvania, USA"
23-08-2021,@blaireerskine Me too! #Moderna,"Georgia, USA"
22-08-2021,#COVID19nsw #vaccine #Pfizer #moderna https://t.co/9iC93hugHA,"Texas, USA"
19-08-2021,"En enero me toca el refuerzo del chip.
Para entonces ya voy andar como fosforescente. 🤣 #Moderna #EUPatrullajeInformativo @JkSandoval_ @SoyFlordeMaria","Tennessee, USA"
18-08-2021,AND HE WAS FULLY VACCINATED ⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️ #Moderna #Pfizer #VaccinesWork 🙄 #COVID19 #vaccines #Delta #DeltaVariant #NoMaskMandates #NoVaccineMandates #NoVaccineForMe https://t.co/R569vvHn9d,"Texas, USA"
18-08-2021,Isn’t the point of a vaccine to NOT get the virus/illness? So then WHY are all these vaccinated people getting sick with Covid? #COVID #vaccination #CovidVaccine #FactCheck #Moderna #vaccineSideEffects https://t.co/zNil8x3ZyC,"Texas, USA"
17-08-2021,"Will I need to manually add a reminder to my calendar to get the #Moderna #booster after 8 months, or will the #microchip do that for me?","Indiana, USA"
16-08-2021,3rd dose✔️ 💉 #Moderna https://t.co/9401DFfRxu,"Virginia, USA"
15-08-2021,@Stugotz790 @LeBatardShow @golic @MikeASports @CoachAllenIU @IndianaFootball Tom Davis was a great interview #moderna #edibles #MOMMY,"Kentucky, USA"
15-08-2021,Man you guys were totally right about 24 hours!  I feel 100% fine this morning!  How wild.  Thank for the prayers and tips!  #moderna #seconddose,"California, USA"
15-08-2021,"Not being able to taste anything or smell anything is Bizarre 
I have no interest in eating since it happened a few days ago
#Moderna 
#breakthroughcovid","Wisconsin, USA"
14-08-2021,Good news for me. #moderna https://t.co/G3qhbPmv1h,"Indiana, USA"
14-08-2021,"Vaccinated back in March/April - been around vaccinated and some unvaccinated (usually masked). Took the antibody/blood test, why not ?: 
N test = antibodies past covid infection (no Vax) S test = antibodies from Vax and/or past infection. #Moderna https://t.co/7fmRI6nmdk","Texas, USA"
14-08-2021,"CVS has appointments for #covid vax  boosters. It's only for immunocompromised.

You can choose which one you want. I went with Moderna because it has better results for Delta.

The form didn't say what proof I need to have but I'll update after my appt.
#boosterdose #Moderna https://t.co/VxdGM8hErx","Texas, USA"
