created_at,text,full_name
04-10-2021,"“People need to stick with science. It’s not an opinion, it’s not an emotion,” Dr. Weeda told me. 

Tonight, she explains what we can all expect when the #Pfizervaccine is approved for kids. 

@kxly4news https://t.co/6UmZrlHWvr","Idaho, USA"
25-09-2021,#Pfizervaccine #vaccinated #Marvel #Blade https://t.co/o3LRgYa6TU,"North Carolina, USA"
24-09-2021,"I guess I’m now cleared to go get my Pfizer booster shot! 💉 
#PfizerBooster #PfizerVaccine 
#GetVaxxed #WearAMask https://t.co/avI1GH8hcD","Georgia, USA"
20-09-2021,"Moderna or Pfizer?
#Pfizervaccine is not as effective as #Moderna https://t.co/fAQpZ5wHjg","Pennsylvania, USA"
10-09-2021,"Thoughts on Covid boosters? 
I feel so many haven’t received their firsts it’s not right to get boosters. Is it morally wrong? Am I thinking too hard? 

I always expected a booster. I also didn’t realize Jan was so long ago already. #timeflieswhenhavingfun #Pfizervaccine #Covid","Florida, USA"
27-08-2021,"If you perpetuate that #PfizerVaccine is fully #FDAApproved, you're either gaslit like a moth to flame or you know you're lying &amp; part of the problem.

Let go of your friggin' ego long enough to do some critical thinking and independent research.

 https://t.co/SrrTtQ2iXc","Texas, USA"
26-08-2021,My parents got their #Pfizervaccine booster this week!💪🏻,"San Juan, Puerto Rico"
23-08-2021,"Congrats @Pfizer! #PfizerApproval #FDAApproval #Pfizervaccine  
(I’m pretty sure my father Bob Schutz, worked for Pfizer in the late 60’s) https://t.co/xdGzO1aGki","California, USA"
23-08-2021,#Pfizervaccine receives full FDA approval. #Pfizer #Pfizerteam #COVID19 #COVID19Vaccine #fdaapproval #VaccinesSaveLives https://t.co/4A28ZS5MCI,"Florida, USA"
12-08-2021,I’ve had my first #PfizerVaccine jab today and I feel I’m being tracked as we speak with the chip and I have for some reason started to attract metal like this guy https://t.co/rWQ1js5zJ1,"Florida, USA"
07-08-2021,"Covid vaccine 5960 Beach Blvd Jax Fl Suite 3! Today until 2 pm only.

#Pfizer #Pfizervaccine #Moderna #COVID19 #covid #vaccine","Florida, USA"
04-08-2021,Great news!!!! #PfizerVaccine #FDAApproval #MaskUp #GetVaccinated https://t.co/QYwvVxPm2y,"South Carolina, USA"
24-07-2021,"Don’t worry… even though I received the  #PfizerVaccine, I still #WearAMask when out in public in enclosed spaces like the grocery store… we are still in a Pandemic.
#MaskUp #GetVaccinated https://t.co/OuJR7DKsIn","Georgia, USA"
16-07-2021,"Watch as #DrewComments (@sjs856) gives every reason to get #COVID #vaccinated …and debunks every reason not to! #GetVaccinated #PfizerVaccine #modernavaccine 💉 

…and #MaskUp 😷 until you do!
         👇🏾👇🏾👇🏾👇🏾👇🏾 https://t.co/deXoFuuDs5","Georgia, USA"
