created_at,text,full_name
29-08-2021,"Get vaccinated.  Don’t be an asshole.

#VaccinePassport #antivaxxers #DeltaVariant #COVIDIOTS #Freedumb #CovidIsNotOver #DeSantisVariant #GetVaccinated #covidiot  #COVID19 #NaturalImmunity #COVID #CovidVaccine #COVID19Vaccine  (Hashtags provided at random by @Twitter) https://t.co/jrjHb3uFOA","Kansas, USA"
26-08-2021,@gabegutierrez If only they’d been #vaccinated and #WearADamnMask #COVID19Vaccine #GetVaccinated,"Colorado, USA"
26-08-2021,@DragonCon #DragonCon2021 #AtlantaGeorgia #COVID19Vaccine https://t.co/tlf2dfqqC3,"Florida, USA"
26-08-2021,GET VACCINATED. #COVID19Vaccine #WakeUp https://t.co/uTzt9VMTCB,"Washington, USA"
25-08-2021,What an awesome morning! ⬇️ #community #COVID19Vaccine #vaccinated https://t.co/vRJUDviy8C,"Florida, USA"
25-08-2021,If you’re STILL NOT vaccinated I guess you WANT to die ? 👋 ✌️ #GetVaxxedRightNow #protectyourfamily #COVID19Vaccine #GetVaccinated #SaveAmericaGetVaxxed #SorryNotSorry https://t.co/xGQlqFzQxx,"Virginia, USA"
25-08-2021,Difficult choice for #COVIDIOTS. #COVID19 #COVID19Vaccine #AntiVaxxer https://t.co/6PkB9SE5nH,"Kentucky, USA"
24-08-2021,Sun is shining! PFIZER IS FDA APPROVED! Let's end this! #COVID19Vaccine #GetVaxxed #TrustTheFacts #believeinscience #listentoprofessionals https://t.co/kmapRN6pVF,"Maine, USA"
23-08-2021,The first thing I did after landing in the US was walk into a @cvspharmacy and get myself #COVID19Vaccine dose 3! #triplevaxxed https://t.co/EiHN5bPc17,"California, USA"
23-08-2021,"😍😍😍 #COVID19 #COVID19Vaccine

https://t.co/rBoXCQrgtC","Indiana, USA"
23-08-2021,#FDAApproved #COVID19Vaccine #COVID19 https://t.co/aVg45MFnpk,"Minnesota, USA"
23-08-2021,"Some folks have been hesitant about the vaccine that was not “fully approved.” Well, that’s no longer the case! #COVID19Vaccine #FullApproval https://t.co/BT4Y9TctTF","Massachusetts, USA"
23-08-2021,#Pfizervaccine receives full FDA approval. #Pfizer #Pfizerteam #COVID19 #COVID19Vaccine #fdaapproval #VaccinesSaveLives https://t.co/4A28ZS5MCI,"Florida, USA"
20-08-2021,"Hey friends, check out this local #COVID19vaccine event happening next week in Oakland! ⬇️ https://t.co/FD3QeXSUG7","Florida, USA"
20-08-2021,Local #COVID19Vaccine event happening next week in Oakland! ⬇️ https://t.co/tZ9wMeQRTI,"Florida, USA"
20-08-2021,"Check out QueenCityDom's video!
#COVID19
#vaccineSideEffects #COVID19Vaccine
#TikTok https://t.co/fRlbGuQVqB","Georgia, USA"
19-08-2021,"Instead of worrying about a #COVID19Vaccine, and booster, I’m pretty sure #BidenIsALaughingstock for not caring about the lives in #Afghanistan. He’s worried about some lives, and others he don’t give a damn about. SMH, moron!

#thursdaymorning","Kentucky, USA"
18-08-2021,@GovLarryHogan how much $$$ are you getting from the federal government for every #COVID19Vaccine administered. #COVID19 #COVID19Vaccine Is a Scam.,"Maryland, USA"
16-08-2021,"Do not get weary in well doing…let’s get beyond this soon 🤍
#unvaccinated #COVID #COVID19Vaccine #DeltaVariant https://t.co/b5WrG8M7M8","Georgia, USA"
13-08-2021,Patients need access to #Vaccines!#VaccinesSaveLives Why is @WalmartInc denying patients access to an @US_FDA approved indication for #covid19vaccine #booster? #patientadvocacy #PatientSafety #COVID19,"Oklahoma, USA"
13-08-2021,@AlaskaChevy Sent an #immunocompromised patient to @Walmart with a #perscription to get #COVID19Vaccine booster based on @US_FDA guidelines. Pharmacist refused to administer because #walmart hadn’t approved use. When did Walmart get prescribing rights? #medtwitter,"Oklahoma, USA"
13-08-2021,Sent an #immunocompromised patient to @Walmart with a #perscription to get #COVID19Vaccine booster based on @US_FDA guidelines. Pharmacist refused to administer because #walmart hadn’t approved use. @US_FDA @TheFSMB when did Walmart get prescribing rights?,"Oklahoma, USA"
12-08-2021,TN again for the win! #COVID19Vaccine #GetVaccinated #StopTheSpread https://t.co/NGM3fMHxoY,"Wisconsin, USA"
10-08-2021,@AsaHutchinson @ADHPIO What you’re saying is too many in the @gop politicized &amp; demonized the #COVID19Vaccine &amp; now people who foolishly listened too all that BS are dying. Listen to &amp; spread nonsense you pay the price. And sometimes that price is your life #GetVaccinated #COVIDIOTS #COVID19 #Arkansas,"Florida, USA"
10-08-2021,The only lives that really matter to conservatives are their own. #BelAirViv #COVID #covid19 #CovidVaccine #COVIDIOTS #COVID19Vaccine #CovidIsNotOver https://t.co/HT7igDeqIF,"Maryland, USA"
04-08-2021,"When asked what prompted his family to get the #COVID19Vaccine, @CityofJax Mayor @lennycurry said it was made after consulting with doctors and having a family discussion. @FCN2go","Florida, USA"
04-08-2021,. @CityofJax Mayor @lennycurry says he plans no mask mandate but encourages people to abide by rules if businesses require them. Also says will not mandate #COVID19Vaccine for COJ employees but encouraging it. @FCN2go,"Florida, USA"
04-08-2021,. @CityofJax Mayor @lennycurry said this morning his family has received the #COVID19Vaccine. A virtual roundtable discussion with Mayor Curry and the three Beaches mayors is scheduled to begin at 12:05 p.m. @FCN2go https://t.co/93epUO3IQ0,"Florida, USA"
03-08-2021,"Come on!  I believe!!! We can do!
#COVID19Vaccine #unvaccinated #CovidVaccine #DeltaVariant 
GA DPH Single Dose and Two Dose Guide (0:52) https://t.co/wHv8nOHeAj via @YouTube","Georgia, USA"
03-08-2021,"Are #COVID19Vaccine working? #COVID19
https://t.co/Anb7dsEyd7","Indiana, USA"
02-08-2021,#COVID19Vaccine #GetVaccinated #Aurora #GetVaccinatedNow https://t.co/7jrk318zCz,"Illinois, USA"
