created_at,text,full_name
30-09-2021,Was supposed to give a talk on #covidvaccine in #pregnancy @ACOGAction meeting. Rising covid rates &amp; conference was canceled. I'll sum up my 42 slides. Vaccine is safe &amp; effective in pregnancy. ACOG agrees. @CDCgov agrees. @Twitter mostly agrees. Listen to ACOG &amp; CDC. #MedTwitter,"Hawaii, USA"
29-09-2021,I got Pfizer booster shot today to reduce my risk for COVID-19  #COVIDBooster #CovidVaccine #StopTheSpread https://t.co/JsbuNne6Sp,"Missouri, USA"
29-09-2021,"Today i learned another one of my families lost their dad to COVID. I feel so much sadness for my 9 year old patient. Dad under 40. Unvaccinated. Please, get your #CovidVaccine don't leave your child without a parent 😢 #MedTwitter","South Carolina, USA"
28-09-2021,#COVID #COVID19  #CovidVaccine #COVIDIOTS https://t.co/W76fQhp8bY,"Nevada, USA"
28-09-2021,"#VaxXed #JabTodaySaferTomorrow #COVID19 #covidres #CovidVaccine 

Here's the research all the fools are looking for.... https://t.co/HFMNtT4yXJ","Nevada, USA"
27-09-2021,"#covid booster dose  Vaccine ✔️
When you work in the public there is no reason to take changes! 
#pfizer #covidvaccine #marshallcountyhealthdepartment #marshallcountyfairgrounds @ West Virginia https://t.co/KKUL88VQwY","West Virginia, USA"
27-09-2021,"Get your booster!!!
#covidvaccine 
#boosterdose https://t.co/NSiqHx6kIA","Nevada, USA"
27-09-2021,"Just got my Pfizer booster! 

For those of you who have already had their third dose, how did it go? 

#CovidVaccine #COVIDBooster https://t.co/2puHJSnkJV","Minnesota, USA"
25-09-2021,And the SUCCESS of #CovidVaccine (sarcasm) https://t.co/5yQSfMc5Au,"Pennsylvania, USA"
24-09-2021,"Expedita, me gusta ésa palabra. 
En chapín del día a día diríamos que nuestro @JkSandoval_ se vacunó al chilazo. #Hora15 @Bea_Colmenares #CovidVaccine","Missouri, USA"
24-09-2021,"My boys aren’t old enough to get the #CovidVaccine yet but they got their #flushot today. 💉💪🏻🩹
#Pleasegetvaccinated
#vaccineswork
#vaccinescauseadults 
#VaccinesSaveLives https://t.co/u63QQj4NRd","Virginia, USA"
23-09-2021,Current feeling after my team has scheduled 60 #Immunocompromised 😷 patients to come get the third dose of #CovidVaccine 💉 along with their #flu 💉 #publichealth #pharmacistsprovidecare #MedTwitter #twitterx https://t.co/k1vlguYNO8,"Ohio, USA"
23-09-2021,"This explains why when I ordered a salad for lunch the other day my dressing choices were French, Russian, Italian, vinaigrette, Moderna, Pfizer or Booster. #COVID19 #vaccine #CovidVaccine https://t.co/YtsSPIDNaT","California, USA"
23-09-2021,Michael Flynn has a new theory that Covid-19 vaccines are being added to salad dressing. Wow. How does this guy function on a daily basis? I guess we’ll call this one the Pfizer-Hidden Valley conspiracy. #COVID19 #Vaccines #CovidVaccine #SaladDressing,"California, USA"
23-09-2021,"BIG #Facts! #RetireRubio 

#AllenEllisonForFlorida 

#WearAMask #CovidVaccine 
#COVID19 
#FloridaCovid https://t.co/CYmWIxBZyP","Florida, USA"
21-09-2021,J&amp;J Booster Shot Appears Effective Against COVID-19 https://t.co/jfgXIZnUwE @nytimes @JNJNews #COVID19 #CovidVaccine,"Georgia, USA"
21-09-2021,#wow #Covid_19 #CovidVaccine  https://t.co/O4Xwg17C0o,"Virginia, USA"
20-09-2021,"Please get your #COVIDVaccine and #WearYourDamnMask kids are dying from #COVID. DON'T believe it, follow this thread! https://t.co/2ygVnXBI9w","South Carolina, USA"
19-09-2021,@tatereeves you’re a fucking joke and a threat to the hard working people of MS by misleading them and continuing to put the state’s health and safety in jeopardy #CovidVaccine #covid19isreal,"Mississippi, USA"
19-09-2021,"#NFLSunday #DALvsLAC @dallascowboys #ATLvsTB @AtlantaFalcons #CovidVaccine 
https://t.co/RuQBHSUklt","Georgia, USA"
19-09-2021,#GetVaccinated #CovidVaccine https://t.co/jrns7QKdet,"North Carolina, USA"
19-09-2021,@GovDunleavy @GovRonDeSantis Better listen up! 1905 Supreme Court has already ruled on vaccine mandatess. #Covid_19 #CovidVaccine #akgov #akleg https://t.co/9sFyxuuAgr,"Alaska, USA"
18-09-2021,@NinaVee Tell the patient advocate at the facility where you got the shot.  The person that administers your shot should not be in healthcare. I do not trust these people to properly care for the vaccines as they require careful handling. #antivaxxers  #CovidVaccine #VaccinesSaveLives,"Pennsylvania, USA"
18-09-2021,"Yesterday I learned another #unvaccinated father of one of my families died of #COVID19 after 6weeks in the ICU leaving 4 kids and loss of main family income. 

Also yesterday 3 fathers of the same demographic refused #COVIDVaccine 

Fathers- PLEASE #GetVaccinated for your kids","South Carolina, USA"
18-09-2021,Scientists’ Review Indicates that COVID-19 Vaccine Boosters are Not Indicated for the General Population https://t.co/w7e9geKQqP #COVID19 #covid #CovidVaccine #vaccineboosters @nytimes @US_FDA @CDCgov,"Georgia, USA"
18-09-2021,"Today I saw a lot of #Unvaccinated parents who refused to get #CovidVaccine which is available in my office. I also saw 22 patients BEFORE LUNCH.
Next time they complain about the wait I'll remind them it's cause so many like them #unvaxxed spreading to kids! #tweetiatrician","South Carolina, USA"
18-09-2021,#COVIDIOTS #Covid_19 #CovidVaccine #VaccinePassports #VaccinePassport https://t.co/9lRKJtKL8d,"California, USA"
18-09-2021,Calling it like it is. Thank you @DrPaulOffit @ChildrensPhila #whodoyoutrust #covidvaccine #COVIDBooster https://t.co/c7LDAvmZEq,"Pennsylvania, USA"
18-09-2021,"Taking a break from tweeting #Covid and the importance of #COVIDVaccine to give a shot out to @harrisslone -best Ortho- who fixed my knee...free at last!!! Ready to figure ⛸️ ski 🎿 and play ⚽...

P.S. #VaccinesWork #MasksSaveLives #tweetiatrician #ACLsSuck https://t.co/OI6YSSPA12","South Carolina, USA"
17-09-2021,"I got #Pfizer big time! #COVID19AB #Mythiversary #CovidVaccine #fullyvaxxed #outdoor #BB23 #Clickbait #DeltaruneChapter2 #Ethereum #GalaxyWatch4 #AppleEvent #Inspiration4 #Jaguars #LilNasXGivesBirth #NBA2K22 #PS5 #UxieRaid #VALORANTMasters 

https://t.co/E1EmsaMfpA","Illinois, USA"
17-09-2021,WASHINGTON (AP) - FDA advisory panel soundly rejects a plan to offer Pfizer booster shots against COVID-19 to most Americans. #CovidVaccine,"Indiana, USA"
17-09-2021,"In the name of science and research, I can officially say I’m triple vaccinated! #CovidVaccine https://t.co/cyhQUdtNVA","Kentucky, USA"
16-09-2021,7 day average finally below 700 again. About a third of new cases are in kids. Hospitalized cases slowly improving as well 🤞. Not too late to Get #CovidVaccine https://t.co/0Ok03QiCvN,"Tennessee, USA"
15-09-2021,Give em hell @JustinTrudeau! It is absolutely ridiculous that you had to protect yourselves and your healthcare workers from Covid but now the deviants who believe this is a conspiracy and that the vaccine is not safe! #IStandWithTrudeau #CovidVaccine #vaccinate,"Michigan, USA"
15-09-2021,#GetVaccinated #CovidVaccine #VaccinesWork https://t.co/6qf5wlmlSP,"New York, USA"
15-09-2021,"Someone make it make sense.
#CovidVaccine https://t.co/e62T9eAcd1","Indiana, USA"
14-09-2021,Had to cut the vid because of time limits but please watch til the end‼️ #COVID19 #mybodymychoice #CovidVaccine https://t.co/0lZPMkftp8,"Tennessee, USA"
14-09-2021,"I got my first shot of Pfizer last year, 12/22/20. Anyone get theirs earlier? #VaccinesSaveLives #CovidVaccine #Pfizer #healthcareworkers","Florida, USA"
14-09-2021,Grateful that this SCIENTIST shared some of her other talents to educate because people are using their platforms to kill people. #CovidVaccine #MeganTheeStallion https://t.co/jetklVfB93,"Florida, USA"
14-09-2021,"I see this as a learning moment. 

Please get vaccinated if you haven't already. 

I've had Covid &amp; Covid Delta variant. The delta v has been harder to deal with then the 1st time.

But I'm positive that if I hadn't had the vaccine this would've been much worse.

#CovidVaccine","Virginia, USA"
14-09-2021,"Everyone needs to watch this interview. #EricClapton #CovidVaccine #stopthehate #FreeSpeech #mybodymychoice
https://t.co/2QlsFSBpHV","South Carolina, USA"
14-09-2021,The dead can’t vote is all I have to say to the Biden hate today.  #MaskMandates #MasksSaveLives #COVID #CovidVaccine #VaccineMandate,"Florida, USA"
13-09-2021,"Why do we always need to learn things the hard way? Summary, key lessons... https://t.co/F8n3SkfvHw via @YouTube #COVID19 #CovidVaccine","Pennsylvania, USA"
13-09-2021,What does “protect the vaccinated” mean?  THEY ARE PROTECTED!  They are vaccinated. This is fear mongering and divisive. Promote #CovidVaccine don’t play politics. https://t.co/Sneo4oak1z,"Tennessee, USA"
13-09-2021,"@washingtonpost Cardiac ICU different than ICU

#COVID19 #CovidVaccine 

Is @washingtonpost =Babylon Bee? https://t.co/sLtaXwGaBG","Pennsylvania, USA"
12-09-2021,Exactly. WHY are they really pushing it? #WeWillNotComply #CovidVaccine #DeepThoughtsFromUnvaccinated #VaccineMandate #FauciLied https://t.co/YUmii7SWor,"Texas, USA"
12-09-2021,Vaccines are not going to save anyone from Covid. If only more people will do research on the people who are vaccinated and dying. #NoVaccinePassports #NoVaccineMandates #vaccineSideEffects #CovidVaccine #mybodymychoice #Freedom #Unvaccinated https://t.co/bMMM9kHuHp,"Texas, USA"
12-09-2021,Is the #CovidVaccine a #Vaccine when it doesn't meet the definition of the word? https://t.co/1ePrwhYJy6,"Indiana, USA"
11-09-2021,Any pediatricians have peer-reviewed studies to share on the safety and efficacy of the Covid vaccine in under 12yo? #CovidVaccine #MedTwitter #Pediatrics,"South Carolina, USA"
10-09-2021,"Unvaccinated 11 times more likely to die of COVID, and Moderna vaccine’s efficacy winning out over Pfizer, J&amp;J https://t.co/TkRhsmdIrk @pfizer @JNJNews @moderna_tx #COVID19 #Covid_19 #COVID #CovidVaccine #GetVaccinatedNow #VaccinesSaveLives","Georgia, USA"
10-09-2021,@POTUS trying to move on from #Afghanistan to #CovidVaccine never forget the #Americans &amp; the piece of shit @POTUS who left them behind,"Vermont, USA"
10-09-2021,So you don’t trust the vaccine because you don’t know what’s in it …. Can you please list me the 27 shots your kid has had to enter school… oh and what’s in them ? 🙃 ya …#VaccineMandate #VaccinesWork #vaxmandates #GetVaxxed #vaccine #CovidVaccine #FullyVaccinated #Covid_19,"Illinois, USA"
10-09-2021,@JoeBiden has an unhealthy obsession with this #Covid_19 vaccine.🙄 #CovidVaccine #BidenMustGo,"Tennessee, USA"
09-09-2021,fully vaxxed @ #24weeks 💪🏼 #CovidVaccine https://t.co/jq7igQBZm3,"Texas, USA"
09-09-2021,"I'm confused, these peeps don't believe doctors &amp; scientists enough to get the #CovidVaccine in order to prevent the virus, but want them to risk themselves while using the same medicine &amp; science to save their lives, all while endangering &amp; prolonging it for everyone. #delta https://t.co/jR18Noqfvw","Virginia, USA"
08-09-2021,Raise your hand if you are fully vaccinated!!! #COVID19 #vaccinated #GetVaccinated #CovidVaccine #VaccinesSaveLives https://t.co/XWrWtPa5Sp,"Florida, USA"
08-09-2021,"May I please get a Xanax for the vaccination 💉, anxiety oh and another in 2 weeks please 😥 inducing information &amp; misinformation…#anxiety #Covid_19 #CovidVaccine #Xanax #JoeBiden #DeepThoughtsFromUnvaccinated #DrOz #AstraZeneca #vaccine #Pharmaceutical #Covidnsw #COVID19Aus","Mississippi, USA"
07-09-2021,"Sad but true.. 
As we continue to take care of you.. please take care of yourselves and the community at large by getting the #CovidVaccine #MaskUp https://t.co/u1D8Oc1vRu","Maryland, USA"
07-09-2021,"For the 3rd week in a row, my age group (50-64) stays at the top of the @ALPublicHealth “Past 4-weeks” numbers of #covid deaths—
Consider a #covidvaccine to #SlowTheSpread &amp; save a life. It’s a proactive step to reduce transmission of #COVID19 instead of treating &amp; spreading it.","Alabama, USA"
07-09-2021,"Majority (almost all) of Alabamians hospitalized with COVID-19 on ventilators are unvaccinated—
There seems to be a high correlation &amp; statistical significance in the data.
Consider a #CovidVaccine to #SlowTheSpread &amp; save a life.

https://t.co/BQ4wPvGww1","Alabama, USA"
06-09-2021,More than 140 COVID shots given out at Champlain Valley Fair  https://t.co/kiVjXRdzYk I miss my home state #Vermont and #champlainvalleyfair happy to see such excellent #covidvaccine percentages #Go #Vermont 💪💉🍁🐄💉💪,"Michigan, USA"
05-09-2021,"So the 1st dose #CovidVaccine didn't work 

The 2nd dose didn't work 

The 3rd dose didn't work 😕 https://t.co/u9k66raDbs","Pennsylvania, USA"
04-09-2021,"@Runyan99 @GovernorKayIvey @RedCross @LifeSouth A: There are claims circulating that incorrectly state that the @RedCross won’t accept convalescent plasma donations from those who have received the #CovidVaccine…”

This is not accurate.
Read the truth—
Get the facts—

https://t.co/Iuli8KMMNT","Alabama, USA"
03-09-2021,"Yesterday: got the second @moderna_tx covid shot ""for the greater good"". 

Today: I am become death. 

Tomorrow: if you don't hear from me, know I have reached Valhalla and I speak of you fondly.

#CovidVaccine 🏥","Pennsylvania, USA"
02-09-2021,#JoeRogan #CovidVaccine https://t.co/j2GgxVPxkY,"Florida, USA"
02-09-2021,First dose of 5G done! #GetVaccinatedNow #COVID19 #CovidVaccine https://t.co/o35CuSRwR7,"Virginia, USA"
02-09-2021,"Attention folks in Metro Atlanta, especially families planning to birth babies at the Baby Factory: @NorthsideHosp  is not requiring their staff to get the vaccine. So make plans accordingly. 
#Covid_19 
#healthcareworkers 
#VaccineMandate 
#CovidVaccine 
#COVID 
#ATL 
#Atlanta","Georgia, USA"
02-09-2021,"#COVID19 #CovidVaccine Our 6-yo granddaughter tested positive for COVID yesterday, eliciting an overwhelming explosion of emotions in my fatigued brain. Any suggestions? I’m trying to stick with “one moment at a time” THANK YOU❤️☮️","North Carolina, USA"
