created_at,text,full_name
13-10-2021,"Safe and effective, they said.
How many must suffer or die before it matters? 
#CovidVaccine https://t.co/eaxvhXGXFK","Indiana, USA"
13-10-2021,I ended up getting my 1st clckd dsnw asked 5the @moderna_tx #covidvaccine frlom  and did it to make momma happy #coronavirus #coronavacccine @ Totten Inlet https://t.co/VRK3IgdTi9,"Washington, USA"
12-10-2021,"@MangusColorado @PennslytckySue @FDA ASBESTOS.     OK

@FDA Experimental #Covidvaccine OK

@FDA DES (drug pregnant woman) OK

👇👇ALL OK per @FDA 

I can give @FDA pass on older drugs,but these 10 below..HOW MUCH CASH passed thru companys, #FDA administrators+ POLITICAL PARTIES 4DRUG COMPANIES 2get approval https://t.co/wtwRVf6MEx","Pennsylvania, USA"
11-10-2021,@Birdiespider @VEtFeMaLE #CovidVaccine https://t.co/s522vGp0c8,"Pennsylvania, USA"
10-10-2021,So now the powers that be are super focused on distributing the #covidvaccine to literally everyone in the world. How about delivering food instead. Has the hunger crisis taken a back seat to a virus with a 99% survival rate?,"Arizona, USA"
09-10-2021,Just got my 2nd shot 2day yall💉I'm good🙏 #CovidVaccine #COVID19 https://t.co/UX0VwlvTEV,"Texas, USA"
09-10-2021,"Yes, #CovidVaccine is SAFE in pregnancy!! @ACOGPregnancy @aafp #GetVaccinatedNow https://t.co/SEPiHymtEU","Wisconsin, USA"
08-10-2021,"@gbosslet Rounded on a newborn. Asked mom if #Vaccinated she said yes. Asked grandma. She said ""my 28 year old son spent 3 weeks in #ICU with #COVID in this hospital. BARELY survived. But I just don't trust the #CovidVaccine 
🤦
#NOCUREFORSTUPID","South Carolina, USA"
08-10-2021,"Man SHOOTS Pharmacist Brother For Administering Covid VACCINES 😱🥴⬇️⬇️

https://t.co/JzEvZgKSYp

#Shooting #CovidVaccine #LifeLineMedia #LifeLineNews #UncensoredNews https://t.co/FB3lEv1HA4","Maryland, USA"
08-10-2021,#Fauci #Clown #CovidVaccine https://t.co/DVgdJdS8Dx,"Pennsylvania, USA"
07-10-2021,Can anybody explain what’s misleading about this in any way? #CovidVaccine https://t.co/mQaA9K672Q,"Texas, USA"
07-10-2021,Counting down the days till my 9 yo can get her #CovidVaccine! https://t.co/nuKFWOTWqY,"Florida, USA"
