text,location,date
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
"RT @OxnardUnion: FLU AND VACCINE EVENT

COVID-19 vaccines and flu vaccines will be offered December 16, 2021.

Community members can choose?€?","Ventura County, USA",02-Dec-2021
RT @HonorHealth: We are currently experiencing an unprecedented demand for care. Please help support our healthcare heroes by committing to?€?,"Arizona, USA",02-Dec-2021
RT @DrHirschfield: My dear physician colleague suddenly passed away after her booster covid-19 vaccine 1 month ago.,"Connecticut, USA",02-Dec-2021
"RT @LADeptHealth: There are ????NO???? Omicron cases in Louisiana. Your best protection is the COVID-19 vaccine and booster, available to everyon?€?","Louisiana, USA",02-Dec-2021
RT @NatImmunol: Peng et al. find that immunodominant CTLs specific for NP105-113-B*07:02 are associated with reduced COVID-19 severity. NP1?€?,"Florida, USA",02-Dec-2021
"RT @TheEconomist: Ugur Sahin, the co-founder and chief executive of BioNTech, warns that covid-19 will be around for a long time, and that?€?","Glendale, California, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
"RT @herbthefox1: Former White House Adviser Issues Warning: Overdeploying COVID-19 Vaccines is Creating ?€?Vaccine Resistant Mutations?€?

?????????????€?",USA,02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Iowa, USA",02-Dec-2021
RT @RepDLesko: Families who choose not to get the COVID-19 vaccine can celebrate the holidays knowing that they will lose their jobs soon a?€?,in the middle of nowhere USA,02-Dec-2021
"In one Facebook post, Hartmann??appeared to question the efficacy of the vaccine.??""If the ouchie is so great, why do?€? https://t.co/DAomwOzoWT","Kentucky, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Georgia, USA",02-Dec-2021
RT @realTuckFrumper: Africa?€?s COVID-19 Vaccine Problem Is More Than Just a Shortage of Doses https://t.co/EHXO08WHyd,"Oregon, USA",02-Dec-2021
RT @latstetter: Anti-vaccine televangelist Marcus Lamb dies of COVID-19 https://t.co/Bp32KCMnbH,"Bloomington, IN, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","North Carolina, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
RT @KDKA: Allegheny County workers have until midnight to show proof of COVID vaccination or face losing their jobs. https://t.co/r63Z9nliWq,"Pennsylvania, USA",02-Dec-2021
"RT @pnagovph: A total of 1,632,900 doses of the #AstraZeneca vaccine arrived on Tuesday, the first batch of a multi-million Covid-19 vaccin?€?","Jax, Florida, USA",02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,USA,02-Dec-2021
"RT @TigerLizzy17: Autopsy concludes that Carlotta died from pulmonary edema r/t myocarditis. The 27 yo had NO previous health problems..
?€?L?€?","Kentucky, USA",02-Dec-2021
"RT @SharylAttkisson: Another study (NEJM) finds powerful immunity among those who had Covid. Reinfections extremely rare &amp; ""None led to hos?€?","Idaho, USA",02-Dec-2021
RT @SharylAttkisson: Covid-19 natural immunity compared to vaccine-induced immunity: The definitive summary https://t.co/ZbXaRXdBjj,"Idaho, USA",02-Dec-2021
RT @SharylAttkisson: (FORUM) Court challenges to Covid-19 vaccine mandates https://t.co/6UJdXWnDra,"Idaho, USA",02-Dec-2021
@disclosetv A true vaccine is getting covid -19, USA,02-Dec-2021
"RT @DoctoraEdith: I got my 1st dose of the Covid-19 vaccine while ovulating. By the time I got my 2nd, I was pregnant. Then came time for m?€?","New York, USA",02-Dec-2021
"RT @Smooch10046744: 26-YEAR-OLD MAN DIED 12 DAYS AFTER RECEIVING THE PFlzer C0VlD VAXZZINE, THE??NZ HERALD ??REPORTS 

Rory James Nairn had h?€?","California, USA",02-Dec-2021
RT @DrHirschfield: My dear physician colleague suddenly passed away after her booster covid-19 vaccine 1 month ago.,"Wisconsin, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",02-Dec-2021
"RT @VigilantFox: President of the European Commission, Ursula von der Leyen, calls for COVID-19 vaccine mandates across the entire European?€?","Texas, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,USA,02-Dec-2021
COVID-19: UK Government secures 114 million more vaccine doses over the next two years as the case of the new Omicr?€? https://t.co/vHe5cSlhWb,USA,02-Dec-2021
