text,user,location,date
"RT @NikkeiAsia: COVID-19 LATEST | AstraZeneca to supply antibody cocktail to Singapore
https://t.co/4rraLi4FD6
#COVID19 #coronavirus #vacci?€?",DanJack45260569,"Florida, USA",10-Dec-2021
@PeterHotez @TexasChildrens @biological_e Is this the same Covid-19 vaccine you called ?€? The People?€?s vaccine?€?in th?€? https://t.co/avhVtIHcPl,king_ryan62,"Pennsylvania, USA",10-Dec-2021
RT @CleClinicMD: A 32-year-old woman is referred to breast radiology for evaluation of palpable lumps in the left axilla 10 days after her?€?,bott_q,USA,10-Dec-2021
"RT @GregAbbott_TX: Since day one, Texas has taken a stand against the federal government's unconstitutional COVID-19 vaccine mandates.

We?€?",0xMalos,USA,10-Dec-2021
RT @BoycottUtah: 1 in 10 Americans say the COVID-19 vaccine conflicts with their religious beliefs. And here we are 21 years into the 21st?€?,Ponderfood,"North Carolina, USA",10-Dec-2021
Pfizer CEO Albert Bourla said during a Wednesday interview that he believes a fourth dose of the COVID-19 vaccine w?€? https://t.co/c3SOEqOloS,electMikeBarber,"South Carolina, USA",10-Dec-2021
"https://t.co/WElrPjvvAe 
The study shows that people who become infected with the Delta variant are less likely to?€? https://t.co/FN6mZGYtxK",DCGreenZone1,"Louisiana, USA",10-Dec-2021
"RT @RWMaloneMD: The obvious question is ""what is it that Pfizer is trying so hard to hide""?

Outrageous Lack of Transparency?€?Pfizer Now Ask?€?",Jp_Americanmade,"Washington, USA",10-Dec-2021
"RT @RWMaloneMD: The obvious question is ""what is it that Pfizer is trying so hard to hide""?

Outrageous Lack of Transparency?€?Pfizer Now Ask?€?",christpaid4U,United States ,10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,JohnRya95081680,"Illinois, USA",10-Dec-2021
RT @BoycottUtah: 1 in 10 Americans say the COVID-19 vaccine conflicts with their religious beliefs. And here we are 21 years into the 21st?€?,JCBwellUS,United States,10-Dec-2021
"RT @RWMaloneMD: The obvious question is ""what is it that Pfizer is trying so hard to hide""?

Outrageous Lack of Transparency?€?Pfizer Now Ask?€?",Michael081105,"Illinois, USA",10-Dec-2021
RT @Rene4D45: Democrats have made it political with their mandates and vaccination discrimination. They would round up all of the unvaccina?€?,SteveTexasBest,"Texas, USA",10-Dec-2021
