date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
09-12-2021,Everyone even if vaccinated should watch these videos and share! #COVID19Vaccine https://t.co/L1cgw3f7js,"Pennsylvania, USA",9,everyone even vaccinated watch videos share covid19vaccine,0.0,0.0,Neutral,anticipation
16-11-2021,@MemHospitalNH Kudos to this dedicated team! 🏆😷💪🩹 #COVID19Vaccine,"New Hampshire, USA",11,kudos dedicated team covid19vaccine,0.0,0.0,Neutral,trust
14-11-2021,"Mandate or no mandate, getting a #COVID19Vaccine is the best way to keep your family safe so you can enjoy the holidays! And its easier than ever to find vaccines in #Philly! @NBCPhiladelphia 
Cc @BonKu @MorganHutchiMD @DrTrishHenwood @TJUHospital 

https://t.co/W7vBKw95to","Pennsylvania, USA",11,mandate mandate getting covid19vaccine best keep family safe enjoy holidays easier ever find vaccines philly,0.6333333333333333,0.4333333333333333,Positive,trust
12-11-2021,https://t.co/ysXpCGuMra @BillGates @CDCgov #COVID19Vaccine #bioweapon #China https://t.co/JADaFHTH9u,"Mississippi, USA",12,covid19vaccine bioweapon china,0.0,0.0,Neutral,No emotion
10-11-2021,"FREE  #COVID19Vaccine clinic @DeckerPUSD on Sunday, November 14 from 1:30 to 6:00 pm #deckermakeswaves #proud2bepusd #phillipsranch https://t.co/JJteTpBnRa","California, USA",10,free covid19vaccine clinic sunday november deckermakeswaves proud2bepusd phillipsranch,0.4,0.8,Positive,No emotion
05-11-2021,Hey! That’s the oldest kid and me in the background of the 3rd picture. So happy for today!! #VaccinesWork #COVID19Vaccine https://t.co/cyut8dQ6YO,"Texas, USA",5,thats oldest background picture happy today vaccineswork covid19vaccine,0.8,1.0,Positive,trust
04-11-2021,"Three disrupted elementary school years for these kids waiting patiently for the #COVID19Vaccine, but today it was finally their turn! So grateful to our beloved Pediatrician who went above and beyond to vaccinate her patients on the very first day she could. Total superhero! https://t.co/jM3quN9b50","Massachusetts, USA",4,three disrupted elementary school years kids waiting patiently covid19vaccine today finally turn grateful beloved pediatrician went beyond vaccinate patients first could total superhero,0.25,0.7966666666666666,Positive,trust
19-10-2021,We are AmVAXadors! We are ACLAMO 💙🧡. #ACLAMOHealth #COVID19Vaccine #GetVaccinated @mcicpa https://t.co/hBBWSd7N43,"Pennsylvania, USA",10,amvaxadors aclamo aclamohealth covid19vaccine getvaccinated,0.0,0.0,Neutral,No emotion
11-10-2021,"@lawyer4laws Take

Your

#COVID19Vaccine 

SAFE 

EFFECTIVE 

@FDA approved

NOT https://t.co/L3fIPpolQo","Pennsylvania, USA",11,take covid19vaccine safe effective approved,0.55,0.65,Positive,No emotion
30-09-2021,Thankful to be able to both give and receive the 💉 The APPE students with me this month organized TWO successful flu and #COVID19Vaccine clinics this week. #Boosted #VaccinesSaveLives #ibelieveinscience #MedTwitter #Twitterx 💕 https://t.co/1qI2CAt3DZ,"Ohio, USA",9,thankful able give receive appe students month organized successful covid19vaccine clinics week boosted vaccinessavelives ibelieveinscience medtwitter twitterx,0.625,0.7875,Positive,positive
